ID,roi_rIFG,roi_rpSMA,roi_rSMA
CC310473,2.24668189478509,1.66156898751671,1.32429538170497
CC312058,2.3249053793189,2.09408914895705,1.62951628219934
CC312222,1.55086083765383,1.3760272970906,1.25131891171137
CC320002,2.39891177636606,1.75186942683326,1.77744310579182
CC320022,1.58948114845488,1.39503236170168,1.42419120411814
CC320059,2.23803719620646,1.54027740454968,1.40930463649608
CC320088,2.58721483636785,2.02084153669852,1.88379335109098
CC320089,2.17948845580772,1.99614847736594,1.6484840872847
CC320107,1.9075248727092,1.62376268410388,1.75595045089722
CC320109,2.24607968624727,2.02274903691845,1.50103863816202
CC320160,2.15237423520029,1.98634329842932,1.28412198358112
CC320202,1.81022866199046,1.89022625081333,2.11242378346714
CC320206,1.87667960075685,1.55101157117773,1.08611824850977
CC320218,1.87657409538457,1.39986057929051,1.15377125769486
CC320267,1.66774590957312,1.37089663670387,1.25091186349775
CC320269,1.95924445582025,1.88350367840425,1.38784454928504
CC320297,2.90935367419396,2.15655941433377,1.56112352271139
CC320321,1.45383014208005,1.88248489373996,1.04087503236017
CC320325,1.91136062586749,1.52377483579848,1.3155291463122
CC320336,2.26264087653454,2.0137516628077,2.07282731856829
CC320342,2.86039320333504,2.22533709620252,1.67486064816699
CC320359,2.98917071907609,2.09744137010457,1.86773383175885
CC320379,2.12173943019208,1.55446839626924,1.61609803600076
CC320417,2.43180684248606,1.49356646449478,1.13862613321822
CC320429,2.87346972948239,1.87971026220439,1.50006572552669
CC320448,2.74953950923166,2.41061316448965,1.75356215900845
CC320461,2.72305797647547,1.68722222175127,1.71871293326955
CC320500,2.05139628457434,1.73506416509181,1.22531579894784
CC320553,1.99975873069999,1.76007683777515,1.25263931427473
CC320568,2.38905182444019,1.56212090710063,1.27100962032506
CC320574,2.30969544546104,1.94065608212977,1.5755444691505
CC320575,1.2280491185777,1.36183852766767,1.24799585415993
CC320576,2.31313860857928,1.63477040514534,1.76253660078402
CC320608,1.58571316136254,1.44760220727803,1.36144878393338
CC320616,3.28841467551243,2.38234372345018,1.96041144853757
CC320621,1.48320908384559,1.46339688772037,1.22029592078409
CC320636,2.11636547983429,1.51381996678717,1.10834569842727
CC320651,1.43560646198414,1.47267795933617,1.07727898050238
CC320661,1.89417196865435,1.76942058698631,1.10180201648194
CC320680,2.63243209579845,1.8553487342081,1.71840067263003
