"subject","mu.true","mu.false","sigma.true","sigma.false","tau.true","tau.false","muS","sigmaS","tauS","tf","gf","SSRT","go_match","go_mismatch","tf_prob","gf_prob"
"320202",0.449109130055433,1.579714105709,0.0725653562947444,0.539393826679001,0.121815481844277,0.702608742787636,0.166124154408526,0.0937957712027984,0.0480053712544625,-2.31650648960799,-1.67437506290431,0.21616366357856,0.571272870194701,2.34003744063788,0.0102653153002199,0.0470284552891929
"320206",0.387926548469534,1.63104851922205,0.0328727256630633,0.508558160907377,0.0291478255713343,0.711097077911494,0.135600649264205,0.0647623113517481,0.0267151443409453,-1.95594022084384,-2.65825512150489,0.164492047534366,0.417151917786644,2.42092297170333,0.0252360983623676,0.00392732043646894
"320218",0.374566671287285,0.958449977989149,0.0513978799404765,0.306998083703564,0.0605110341029292,0.571601009752063,0.188595686502408,0.0165344168687787,0.0452357554014103,-1.75413519686616,-3.06054606524635,0.233339264202538,0.435248872408456,1.59708962350223,0.0397036719816578,0.0011046688620375
"320379",0.391429809070931,1.48177090838625,0.0308500331144692,0.421057237343652,0.0762438646092889,0.696056621224864,0.110820214242212,0.0871794009044049,0.0365395571295533,-2.38125018520013,-2.03128073733689,0.149591698925488,0.467734337569789,2.26387881014791,0.00862699461479652,0.0211132621360281
"320429",0.426299536644117,0.82685173073895,0.0562000484168935,0.174255779251246,0.054824750461129,0.528626261739822,0.150381620623311,0.0548115875032181,0.0354640651002045,-1.89612943160718,-3.04190694965851,0.187023378746702,0.481177584333353,1.39104239442303,0.0289714659152602,0.00117542277503993
"320478",0.340699725890181,0.242753868300579,0.0386463243318983,0.035178815793176,0.0132605569801574,2.37026163763322,0.216049927970953,0.0232497659155445,0.0118796432259899,-1.94415249770633,-2.73676176965015,0.228831110543035,0.354024895350826,2.6161157521608,0.0259385320674011,0.00310236040562821
"320576",0.432543346157859,0.949605162396967,0.0655021025317252,0.347644425189583,0.105617606145732,0.706242343705184,0.0796108419703957,0.105300586106542,0.0408231565222472,-2.235018852027,-1.64843136706563,0.126964741267252,0.538384701512164,1.68369366507106,0.0127080558851918,0.049632091873725
"320608",0.491933988777853,0.981594646867943,0.0745398217322053,0.347976936446929,0.100576390756456,0.638247399623831,0.255577766770694,0.0363509329091635,0.031192790396167,-1.58219324570961,-1.78615758343541,0.288021204461256,0.592717285714027,1.64336452764273,0.0568027310277334,0.0370368734220683
"320687",0.370020366264641,1.98289347960832,0.0374930306880386,0.267217625343368,0.0274993359443155,0.711505882396034,0.13602791176681,0.0836178551130826,0.0266554290861053,-2.37888945969942,-3.04467763831964,0.164804581843069,0.397519327072575,2.77508831278585,0.00868244123194775,0.00116464914003658
"320759",0.425304307006225,0.993076108643805,0.0512572230140551,0.277531921385216,0.110531269568787,0.535717774326242,0.0658871688705095,0.168579090697897,0.0481905180738783,-1.56811947449044,-1.34274565211217,0.12445406823294,0.535923338465321,1.54850302009144,0.0584266262261804,0.0896771734330032
"320870",0.441875469225266,1.15795314020946,0.0477858917610258,0.348358048745212,0.0803088243779416,0.585512481169434,0.0947258428285679,0.115063972838412,0.0661578596527971,-2.01324502576157,-2.48339451172829,0.164419163880584,0.522305361147249,1.83150394413754,0.0220444293758949,0.00650684360990048
"320904",0.348280414248046,1.18799808569418,0.0394723429295888,0.469075655801727,0.140314945509746,0.572585792363456,0.117469693253774,0.103910545917658,0.0611446538191356,-1.80369922375436,-1.75817508986903,0.182030423637621,0.488851682469251,1.80469256205094,0.035639235657098,0.0393588611590364
"321025",0.380386710925796,0.677188426255408,0.038854742386238,0.197007616787979,0.0518688918170396,0.494312118728048,0.210093650734323,0.0584447491611114,0.0241012764514338,-2.40621316114347,-2.66017015608238,0.235586073078624,0.432337312550169,1.19393718811554,0.00805942953567382,0.00390505918794243
"321069",0.790467700423802,2.01767726782305,0.166715239863829,0.555133143447082,0.037527856567205,0.77239253147586,0.0679504084674098,0.132941190903252,0.0452918801380503,-2.55000224780829,-2.69219992232273,0.121594962822652,0.828853100581716,2.84980320137901,0.00538611122699566,0.00354911904418866
"321203",0.325134729526929,0.447616301812016,0.0334569760150827,0.122711713239782,0.0272693914282638,0.503948755612267,0.185307948285922,0.0710041654955922,0.0253881713905477,-2.13842595312219,-2.9768228549534,0.211999754098371,0.352530481568759,0.958049569008047,0.0162410939730464,0.00145626121394471
